Date,Price,Open,High,Low,Vol.,Change %
1/10/2019,1288.35,1293.85,1298.00,1287.65,-,-0.28%
1/9/2019,1292.00,1286.10,1295.00,1280.90,234.29K,0.47%
1/8/2019,1285.90,1289.90,1291.40,1280.20,221.92K,-0.31%
1/7/2019,1289.90,1287.00,1297.00,1284.10,204.68K,0.31%
1/6/2019,1285.85,1286.85,1287.75,1285.70,-,0.00%
1/4/2019,1285.80,1296.50,1300.40,1278.10,316.06K,-0.70%
1/3/2019,1294.80,1288.50,1296.90,1286.40,244.54K,0.83%
1/2/2019,1284.10,1285.00,1291.00,1280.60,235.33K,0.06%
1/1/2019,1283.35,1284.70,1284.75,1282.85,-,0.16%
12/31/2018,1281.30,1283.00,1286.50,1279.70,113.26K,-0.13%
12/28/2018,1283.00,1278.00,1284.70,1276.50,162.73K,0.15%
12/27/2018,1281.10,1270.10,1281.60,1269.10,213.50K,0.64%
12/26/2018,1273.00,1273.50,1282.30,1267.40,208.54K,0.18%
12/25/2018,1270.75,1272.50,1274.55,1270.65,-,-0.08%
12/24/2018,1271.80,1260.70,1273.90,1260.00,137.24K,1.09%
12/21/2018,1258.10,1263.50,1266.20,1257.10,212.78K,-0.77%
12/20/2018,1267.90,1247.00,1270.30,1246.20,318.24K,0.92%
12/19/2018,1256.40,1253.50,1262.20,1245.30,275.31K,0.22%
12/18/2018,1253.60,1249.70,1254.50,1249.00,171.59K,0.14%
12/17/2018,1251.80,1242.80,1252.20,1239.40,166.88K,0.84%
12/14/2018,1241.40,1246.20,1247.30,1236.50,194.65K,-0.48%
12/13/2018,1247.40,1250.70,1251.70,1244.40,158.85K,-0.21%
12/12/2018,1250.00,1248.30,1252.60,1247.10,157.07K,0.22%
12/11/2018,1247.20,1249.80,1255.10,1245.80,186.39K,-0.18%
12/10/2018,1249.40,1255.60,1256.60,1246.90,199.74K,-0.26%
12/7/2018,1252.60,1243.10,1255.80,1242.60,225.56K,0.72%
12/6/2018,1243.60,1243.00,1249.90,1240.00,248.86K,0.08%
12/5/2018,1242.60,1244.60,1244.80,1238.70,110.21K,-0.32%
12/4/2018,1246.60,1236.30,1247.50,1235.80,221.14K,0.56%
12/3/2018,1239.60,1227.80,1240.40,1226.60,247.72K,1.11%
11/30/2018,1226.00,1229.90,1231.10,1221.80,170.45K,-0.36%
11/29/2018,1230.40,1227.10,1234.90,1226.70,246.43K,0.05%
11/28/2018,1229.80,1220.90,1233.80,1216.80,209.03K,0.81%
11/27/2018,1219.90,1228.50,1231.70,1217.80,135.21K,-0.72%
11/26/2018,1228.70,1230.40,1234.50,1228.00,142.17K,-0.03%
11/23/2018,1229.10,1232.80,1235.50,1226.20,62.61K,0.09%
11/22/2018,1228.00,1226.40,1229.70,1225.50,-,-0.47%
11/21/2018,1233.80,1228.70,1236.70,1226.20,53.07K,0.55%
11/20/2018,1227.00,1230.70,1235.40,1226.10,46.66K,-0.33%
11/19/2018,1231.10,1229.00,1232.20,1224.50,34.54K,0.17%
11/16/2018,1229.00,1220.30,1232.10,1220.30,30.63K,0.65%
11/15/2018,1221.10,1217.70,1222.80,1213.30,16.27K,0.42%
11/14/2018,1216.00,1209.70,1223.20,1204.00,23.06K,0.72%
11/13/2018,1207.30,1207.70,1211.30,1202.40,35.58K,0.32%
11/12/2018,1203.50,1210.30,1212.00,1200.60,203.64K,-0.42%
11/9/2018,1208.60,1224.30,1224.60,1207.20,322.35K,-1.35%
11/8/2018,1225.10,1227.70,1228.50,1220.80,239.02K,-0.29%
11/7/2018,1228.70,1228.90,1238.40,1224.20,259.29K,0.20%
11/6/2018,1226.30,1233.40,1237.80,1224.90,199.67K,-0.49%
11/5/2018,1232.30,1234.50,1236.80,1228.40,159.43K,-0.08%
11/2/2018,1233.30,1235.30,1238.40,1231.30,256.02K,-0.43%
11/1/2018,1238.60,1216.60,1239.30,1216.10,313.45K,1.94%
10/31/2018,1215.00,1224.70,1225.00,1213.40,247.06K,-0.84%
10/30/2018,1225.30,1231.90,1232.50,1221.40,224.64K,-0.19%
10/29/2018,1227.60,1236.40,1237.60,1226.10,234.29K,-0.66%
10/26/2018,1235.80,1234.70,1246.00,1232.50,315.69K,0.28%
10/25/2018,1232.40,1236.60,1242.00,1230.50,259.68K,0.11%
10/24/2018,1231.10,1233.80,1238.00,1228.30,211.48K,-0.46%
10/23/2018,1236.80,1225.10,1243.00,1224.50,288.38K,1.00%
10/22/2018,1224.60,1230.50,1232.60,1222.80,187.23K,-0.33%
10/19/2018,1228.70,1228.60,1234.10,1226.20,191.80K,-0.11%
10/18/2018,1230.10,1225.50,1233.60,1221.70,243.11K,0.22%
10/17/2018,1227.40,1228.00,1232.90,1223.70,235.33K,-0.29%
10/16/2018,1231.00,1230.50,1235.90,1226.30,242.42K,0.06%
10/15/2018,1230.30,1221.20,1236.90,1220.40,291.57K,0.68%
10/12/2018,1222.00,1227.70,1228.10,1219.30,318.23K,-0.46%
10/11/2018,1227.60,1197.90,1230.00,1194.70,531.78K,2.87%
10/10/2018,1193.40,1192.70,1198.60,1188.50,248.56K,0.16%
10/9/2018,1191.50,1192.20,1195.80,1186.60,243.86K,0.24%
10/8/2018,1188.60,1206.70,1208.00,1186.00,320.10K,-1.41%
10/5/2018,1205.60,1203.70,1209.80,1200.90,255.48K,0.33%
10/4/2018,1201.60,1201.40,1210.70,1199.60,290.84K,-0.11%
10/3/2018,1202.90,1207.00,1212.30,1200.40,255.07K,-0.34%
10/2/2018,1207.00,1192.70,1212.30,1192.20,365.32K,1.28%
10/1/2018,1191.70,1196.10,1196.50,1188.10,220.51K,0.02%
9/28/2018,1191.50,1181.70,1191.90,1180.00,307.82K,0.78%
9/27/2018,1182.30,1194.60,1197.30,1180.50,351.05K,-1.35%
9/26/2018,1198.50,1205.50,1206.90,1194.60,343.48K,-0.60%
9/25/2018,1205.70,1203.10,1207.90,1201.30,197.64K,0.19%
9/24/2018,1203.40,1204.00,1208.80,1198.60,214.29K,0.01%
9/21/2018,1203.30,1212.10,1215.80,1196.00,344.75K,-0.71%
9/20/2018,1211.90,1208.80,1213.20,1205.10,241.61K,0.26%
9/19/2018,1208.70,1202.80,1211.00,1202.20,233.87K,0.48%
9/18/2018,1202.90,1206.40,1208.20,1200.30,229.11K,-0.27%
9/17/2018,1206.10,1199.80,1209.70,1197.50,209.94K,0.65%
9/14/2018,1198.30,1206.60,1213.80,1197.70,282.26K,-0.67%
9/13/2018,1206.40,1212.40,1218.00,1205.00,304.35K,-0.43%
9/12/2018,1211.60,1203.50,1213.90,1197.60,304.32K,0.66%
9/11/2018,1203.60,1200.40,1204.80,1192.70,263.07K,0.22%
9/10/2018,1201.00,1200.70,1203.80,1196.20,213.40K,-0.07%
9/7/2018,1201.80,1205.60,1209.00,1198.70,287.65K,-0.29%
9/6/2018,1205.30,1202.50,1212.70,1200.50,284.20K,0.87%
9/5/2018,1194.90,1192.50,1196.00,1192.50,209.56K,0.18%
9/4/2018,1192.70,1199.30,1200.50,1189.90,421.47K,-1.13%
9/3/2018,1206.30,1204.90,1209.60,1201.30,-,0.12%
9/2/2018,1204.90,1206.20,1206.60,1204.50,-,0.38%
8/31/2018,1200.30,1207.10,1208.20,1199.10,265.11K,-0.46%
