Date,Price,Open,High,Low,Vol.,Change %
1/10/2019,15.715,15.793,15.832,15.707,-,-0.0013
1/9/2019,15.735,15.715,15.825,15.630,73.31K,0.0014
1/8/2019,15.713,15.725,15.745,15.560,64.41K,-0.0027
1/7/2019,15.756,15.800,15.880,15.680,54.18K,0.0001
1/6/2019,15.755,15.770,15.805,15.752,-,-0.002
1/4/2019,15.786,15.805,15.955,15.645,99.94K,-0.0007
1/3/2019,15.797,15.630,15.815,15.550,90.48K,0.0095
1/2/2019,15.649,15.550,15.680,15.385,89.23K,0.0081
1/1/2019,15.523,15.560,15.560,15.515,-,-0.0011
12/31/2018,15.540,15.460,15.575,15.390,53.73K,0.0066
12/30/2018,15.438,15.457,15.457,15.420,-,0.0001
12/28/2018,15.436,15.295,15.460,15.285,60.78K,0.0082
12/27/2018,15.310,15.115,15.335,15.005,78.86K,0.0124
12/26/2018,15.123,14.875,15.250,14.780,76.66K,0.021
12/25/2018,14.812,14.835,14.875,14.812,-,-0.0005
12/24/2018,14.820,14.735,14.875,14.715,30.11K,0.0066
12/23/2018,14.723,14.732,14.738,14.715,-,0.0014
12/21/2018,14.702,14.840,14.860,14.665,52.33K,-0.0112
12/20/2018,14.869,14.680,14.915,14.620,76.60K,0.0034
12/19/2018,14.818,14.705,14.900,14.615,70.30K,0.008
12/18/2018,14.701,14.735,14.790,14.680,45.55K,-0.0039
12/17/2018,14.759,14.655,14.775,14.620,42.58K,0.0083
12/16/2018,14.637,14.623,14.648,14.620,-,0
12/14/2018,14.637,14.830,14.850,14.560,66.41K,-0.0147
12/13/2018,14.855,14.860,14.900,14.765,50.19K,0.0003
12/12/2018,14.851,14.650,14.895,14.630,65.80K,0.0152
12/11/2018,14.628,14.630,14.820,14.605,75.44K,0.0016
12/10/2018,14.605,14.735,14.735,14.565,53.62K,-0.0063
12/9/2018,14.697,14.735,14.735,14.697,-,0.0001
12/7/2018,14.696,14.550,14.735,14.510,65.07K,0.0129
12/6/2018,14.509,14.585,14.590,14.415,64.48K,-0.005
12/5/2018,14.582,14.605,14.620,14.490,32.86K,-0.004
12/4/2018,14.640,14.500,14.745,14.460,76.61K,0.0097
12/3/2018,14.499,14.335,14.645,14.280,96.84K,0.0132
12/2/2018,14.310,14.305,14.355,14.290,-,0.0065
11/30/2018,14.217,14.375,14.410,14.115,78.67K,-0.0128
11/29/2018,14.402,14.420,14.470,14.340,78.09K,-0.0037
11/28/2018,14.455,14.240,14.490,14.205,60.28K,0.0165
